City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,utrik,11.2278,169.8474,27.379999999999995,76,100,1.16,MH,1696163923
66,sangueya,10.7,-14.3667,32.160000000000025,64,100,1.43,GN,1696164329
67,puerto baquerizo moreno,-0.9,-89.6,22.720000000000027,87,100,5.36,EC,1696164330
68,santa cruz,-17.8,-63.1667,26.03000000000003,38,75,6.69,BO,1696164302
69,yellowknife,62.456,-114.3525,6.900000000000034,96,100,5.66,CA,1696163813
70,kununurra,-15.7667,128.7333,26.99000000000001,57,19,3.09,AU,1696164027
71,livingstonia,-10.606,34.1063,26.960000000000036,38,15,3.32,MW,1696164332
72,waingapu,-9.6567,120.2641,25.29000000000002,79,100,1.82,ID,1696163929
73,cidreira,-30.1811,-50.2056,15.400000000000034,69,100,3.46,BR,1696164333
74,bandar abbas,27.1865,56.2808,34.99000000000001,49,0,6.17,IR,1696164333
75,awjilah,29.1081,21.2869,30.55000000000001,26,100,5.1,LY,1696164030
76,port alfred,-33.5906,26.891,19.54000000000002,70,53,2.24,ZA,1696164028
77,herval,-32.0236,-53.3956,13.580000000000041,62,0,2.29,BR,1696164335
78,invercargill,-46.4,168.35,15.57000000000005,68,100,7.6,NZ,1696163876
79,hamilton,39.1834,-84.5333,17.77000000000004,94,0,0.45,US,1696163861
80,carutapera,-1.195,-46.02,29.950000000000045,62,77,4.7,BR,1696164051
81,pathein,16.7833,94.7333,24.390000000000043,97,100,1.76,MM,1696164337
82,anadyr,64.75,177.4833,-2.7199999999999704,86,0,4.0,RU,1696163990
83,nova sintra,14.8667,-24.7167,23.939999999999998,79,91,11.01,CV,1696163990
84,hawaiian paradise park,19.5933,-154.9731,22.80000000000001,94,0,3.09,US,1696163932
85,tamanrasset,22.785,5.5228,29.950000000000045,17,40,4.12,DZ,1696164073
86,pak phanang,8.3511,100.202,31.010000000000048,72,24,0.37,TH,1696164339
87,ushuaia,-54.8,-68.3,4.810000000000002,60,75,5.66,AR,1696163930
88,bilibino,68.0546,166.4372,-7.7999999999999545,90,100,0.46,RU,1696163928
89,green river,41.5286,-109.4662,17.220000000000027,30,14,1.34,US,1696164342
90,calatayud,41.3535,-1.6432,31.660000000000025,21,25,0.74,ES,1696164342
91,kaset sombun,16.2805,101.9542,25.400000000000034,90,95,1.49,TH,1696164343
92,nemuro,43.3236,145.575,16.720000000000027,94,100,3.16,JP,1696163930
93,vila velha,-20.3297,-40.2925,23.970000000000027,80,100,3.6,BR,1696164188
94,xianyang,34.3378,108.7026,15.580000000000041,100,100,6.0,CN,1696164345
95,rutana,-3.8667,30.1,30.129999999999995,20,30,1.49,BI,1696164346
96,salgueiro,-8.0742,-39.1192,28.860000000000014,30,7,5.62,BR,1696164346
97,minab,27.1467,57.0801,33.73000000000002,35,0,4.5,IR,1696164347
98,okha,53.5739,142.9478,8.75,97,100,5.47,RU,1696164061
99,n'dalatando,-9.2978,14.9116,30.650000000000034,46,94,0.98,AO,1696164348
100,macon,39.8667,-88.9668,16.25,100,0,2.49,US,1696164092
101,alta,69.9689,23.2717,6.590000000000032,85,75,5.14,NO,1696164349
102,zaysan,47.4667,84.8667,11.78000000000003,64,59,0.54,KZ,1696164349
103,broken hill,-31.95,141.4333,19.400000000000034,35,4,5.78,AU,1696163993
104,udachny,66.4167,112.4,0.25,100,100,7.16,RU,1696163985
105,kentau,43.5206,68.5094,18.220000000000027,31,100,3.43,KZ,1696164078
106,vilyuysk,63.7553,121.6247,7.220000000000027,82,100,0.89,RU,1696164352
107,maintirano,-18.0667,44.0167,27.80000000000001,60,0,6.36,MG,1696164352
108,christchurch,-43.5333,172.6333,17.110000000000014,68,100,4.63,NZ,1696164353
109,holualoa,19.6228,-155.9522,25.480000000000018,82,0,3.6,US,1696164353
110,karaton,-6.3424,106.1045,24.200000000000045,78,89,0.56,ID,1696164354
111,puerto deseado,-47.7503,-65.8938,10.410000000000025,48,100,5.35,AR,1696164086
112,punta del este,-34.9667,-54.95,13.060000000000002,81,20,7.6,UY,1696164035
113,port lincoln,-34.7333,135.8667,12.430000000000007,79,0,1.73,AU,1696163779
114,kodiak,57.79,-152.4072,9.730000000000018,93,100,2.57,US,1696164020
115,ribeira grande,38.5167,-28.7,22.220000000000027,68,40,4.92,PT,1696164014
116,kirensk,57.7853,108.1119,1.740000000000009,76,100,4.53,RU,1696164356
117,port elizabeth,-33.918,25.5701,19.620000000000005,61,75,3.6,ZA,1696163819
118,aykhal,66.0,111.5,1.7100000000000364,94,100,5.36,RU,1696164071
119,ust'-uda,54.1742,103.0304,3.2100000000000364,60,100,3.13,RU,1696164358
120,stanley,54.868,-1.6985,20.710000000000036,76,40,5.14,GB,1696163921
121,selfoss,63.9331,-20.9971,10.020000000000039,68,100,7.26,IS,1696164054
122,villarrica,-25.75,-56.4333,23.420000000000016,56,0,2.86,PY,1696164359
123,uturoa,-16.7333,-151.4333,25.879999999999995,77,94,8.26,PF,1696163993
124,daru,-9.0763,143.2092,24.840000000000032,88,100,6.86,PG,1696164362
125,st. john's,47.5649,-52.7093,16.650000000000034,73,40,6.17,CA,1696163999
126,kosong,38.3788,128.4676,18.27000000000004,67,0,3.96,KR,1696164363
127,taroa,8.7058,171.2275,26.24000000000001,82,100,0.49,MH,1696164364
128,pijijiapan,15.7011,-93.23,26.04000000000002,87,100,1.97,MX,1696164364
129,saint-philippe,-21.3585,55.7679,26.77000000000004,71,13,4.7,RE,1696163988
130,atafu village,-8.5421,-172.5159,28.450000000000045,70,96,1.32,TK,1696164025
131,ulaangom,49.9811,92.0667,10.210000000000036,68,100,1.71,MN,1696164366
132,sol'-iletsk,51.1631,54.9918,18.710000000000036,41,10,2.66,RU,1696164367
133,west island,-12.1568,96.8225,25.99000000000001,73,75,7.72,CC,1696163931
134,kirov,58.5966,49.6601,17.55000000000001,59,89,5.36,RU,1696164149
135,tarauaca,-8.1614,-70.7656,27.810000000000002,73,100,0.94,BR,1696164367
136,portoferraio,42.8115,10.3146,27.310000000000002,78,0,0.0,IT,1696164368
137,turpan,42.9333,89.1667,25.80000000000001,22,3,1.81,CN,1696164060
138,hasaki,35.7333,140.8333,22.379999999999995,87,100,5.42,JP,1696163928
139,hermanus,-34.4187,19.2345,18.970000000000027,52,0,5.2,ZA,1696163992
140,san sebastian de la gomera,28.0916,-17.1133,30.200000000000045,58,0,3.09,ES,1696164370
141,al jawf,29.5,38.75,35.870000000000005,10,14,2.5,SA,1696164370
142,watertown,42.3709,-71.1828,15.480000000000018,90,75,3.09,US,1696164187
143,puerto san jose,13.9256,-90.8244,26.129999999999995,85,71,1.39,GT,1696164371
144,eenhana,-17.4667,16.3333,38.60000000000002,7,0,3.0,NA,1696164372
145,kabwe,-14.4469,28.4464,35.150000000000034,17,89,5.08,ZM,1696164228
146,crane,31.3974,-102.3501,22.160000000000025,79,100,7.46,US,1696164373
147,cockburn town,21.4612,-71.1419,28.77000000000004,72,96,7.72,TC,1696163856
148,evanston,42.0411,-87.6901,18.870000000000005,74,20,1.54,US,1696164173
149,fomboni,-12.28,43.7425,26.090000000000032,74,54,3.33,KM,1696164374
150,malango,-2.9627,119.9001,19.860000000000014,98,68,0.55,ID,1696164375
151,anchorage,61.2181,-149.9003,7.82000000000005,90,75,0.0,US,1696164201
152,song cau,13.45,109.2167,26.640000000000043,88,100,2.84,VN,1696164375
153,tegueste,28.5167,-16.3167,29.640000000000043,41,0,4.63,ES,1696164376
154,dudinka,69.4058,86.1778,-10.20999999999998,96,44,1.34,RU,1696163980
155,sanibel,26.449,-82.0223,26.010000000000048,95,90,2.68,US,1696164377
156,bikenibeu village,1.3673,173.1241,27.980000000000018,83,40,2.06,KI,1696163996
157,aldan,58.6031,125.3894,3.4399999999999977,69,16,1.34,RU,1696164377
158,reggane,26.7158,0.1714,39.24000000000001,13,0,6.79,DZ,1696164378
159,howard springs,-12.497,131.047,27.950000000000045,72,99,2.88,AU,1696163930
160,suwayr,30.1171,40.3893,35.52000000000004,13,4,1.11,SA,1696164378
161,ust-nera,64.5667,143.2,-1.669999999999959,60,56,3.32,RU,1696163929
162,cill airne,52.05,-9.5167,16.03000000000003,77,20,4.12,IE,1696164011
163,qarazhal,48.0078,70.7903,11.990000000000009,69,100,4.76,KZ,1696164379
164,mwinilunga,-11.7358,24.4293,32.32000000000005,21,87,2.04,ZM,1696164053
165,margate,51.3813,1.3862,20.939999999999998,75,100,0.45,GB,1696163922
166,avarua,-21.2078,-159.775,25.03000000000003,94,75,2.57,CK,1696163936
167,ngaruawahia,-37.6674,175.1555,14.0,87,91,5.81,NZ,1696164383
168,tsiombe,-25.3,45.4833,30.340000000000032,33,1,6.45,MG,1696164023
169,eyl,7.9803,49.8164,29.04000000000002,68,16,11.39,SO,1696164384
170,smirnykh,49.75,142.8333,11.050000000000011,96,100,2.68,RU,1696164384
171,nagqu,31.5,92.0,4.720000000000027,88,28,1.71,CN,1696164045
172,polyarnyy,69.1989,33.4478,6.830000000000041,75,100,6.93,RU,1696163928
173,argo,37.6333,22.7333,24.32000000000005,34,13,2.46,GR,1696164386
174,nova vicosa,-17.8919,-39.3719,26.5,60,7,3.08,BR,1696164387
175,salavan,15.7167,106.4167,24.760000000000048,95,14,0.49,LA,1696164387
176,zavolzh'ye,56.6428,43.3936,18.890000000000043,44,82,6.29,RU,1696164388
177,alice springs,-23.7,133.8833,27.75,17,53,1.03,AU,1696164002
178,keflavik,64.0049,-22.5624,11.950000000000045,76,75,6.17,IS,1696164085
179,midelt,32.6852,-4.7451,27.090000000000032,17,0,2.72,MA,1696164391
180,egilsstadir,65.2653,-14.3948,6.9500000000000455,87,75,6.17,IS,1696163922
181,mugia,43.1041,-9.2179,26.760000000000048,71,77,0.81,ES,1696164072
182,vilyuchinsk,52.9306,158.4028,7.180000000000007,82,100,0.91,RU,1696164056
183,portage la prairie,49.9728,-98.2926,15.060000000000002,59,100,3.12,CA,1696164020
184,levuka,50.1834,-105.4011,11.900000000000034,76,100,5.22,CA,1696164392
185,ilha de mocambique,-15.0342,40.7358,27.220000000000027,70,3,9.16,MZ,1696164072
186,kulhudhuffushi,6.6221,73.07,27.24000000000001,80,100,6.39,MV,1696164392
187,chauk,20.8833,94.8167,25.350000000000023,90,100,6.48,MM,1696164393
188,rongelap,11.1635,166.8941,28.060000000000002,78,100,6.39,MH,1696164084
189,aasiaat,68.7098,-52.8699,-5.17999999999995,73,7,5.28,GL,1696164022
190,al bawiti,28.3492,28.8659,31.379999999999995,25,88,7.02,EG,1696164393
191,dzhambeyty,50.2536,52.595,20.210000000000036,38,1,3.42,KZ,1696164394
192,strovolos,35.1329,33.3455,29.32000000000005,39,40,3.09,CY,1696164394
193,progreso,21.2833,-89.6667,26.170000000000016,87,64,2.73,MX,1696164394
194,neiafu,-18.65,-173.9833,22.379999999999995,64,75,4.12,TO,1696164394
195,palikir - national government center,6.9248,158.1611,24.410000000000025,94,100,1.54,FM,1696164070
196,puerto aysen,-45.4,-72.7,4.730000000000018,95,100,1.89,CL,1696164395
197,lashio,22.9333,97.75,20.960000000000036,98,100,0.65,MM,1696164063
198,sao vicente,-23.9631,-46.3919,25.100000000000023,59,100,2.06,BR,1696164395
199,narrabri,-30.3167,149.7833,23.129999999999995,34,5,5.11,AU,1696164395
200,gondar,12.6,37.4667,19.950000000000045,68,70,3.75,ET,1696164396
201,tuy hoa,13.0833,109.3,26.27000000000004,88,100,1.43,VN,1696164396
202,heilbron,-27.2812,27.9709,26.010000000000048,17,0,4.3,ZA,1696164396
203,caluula,11.9661,50.7569,28.590000000000032,71,6,4.37,SO,1696164396
204,waddan,29.1614,16.139,30.79000000000002,28,3,3.16,LY,1696164396
205,arraial do cabo,-22.9661,-42.0278,20.920000000000016,88,75,9.26,BR,1696164075
206,rochester,43.1548,-77.6156,18.170000000000016,92,6,1.79,US,1696164367
207,newbury,51.4003,-1.3206,22.180000000000007,86,99,1.79,GB,1696164370
208,port hedland,-20.3167,118.5667,26.03000000000003,69,0,4.63,AU,1696164398
209,thompson,55.7435,-97.8558,3.090000000000032,93,75,2.57,CA,1696163935
210,ciudad constitucion,25.0369,-111.6644,20.33000000000004,83,12,2.62,MX,1696164398
211,neelankarai,12.9455,80.2575,32.03000000000003,74,40,5.14,IN,1696164398
212,fale old settlement,-9.3852,-171.2468,27.77000000000004,76,19,1.65,TK,1696163931
213,taldykorgan,45.0156,78.3739,17.55000000000001,38,22,4.24,KZ,1696164399
214,waunakee,43.1919,-89.4557,20.930000000000007,84,0,0.45,US,1696164399
215,borogontsy,62.6683,131.1683,1.830000000000041,53,99,2.24,RU,1696164399
216,saipan,15.1355,145.701,28.390000000000043,89,40,3.09,MP,1696164079
217,qui nhon,13.7667,109.2333,26.939999999999998,86,100,2.63,VN,1696164399
218,alaghsas,17.0187,8.0168,32.94,40,40,7.2,NE,1696164042
